,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Country,"Aquatic Products, Other",Offals,"Fish, Seafood","[Aquatic Products, Other] + [Offals] + [Fish, Seafood]",Cereals - Excluding Beer,Eggs,Milk - Excluding Butter,[Eggs] + [Milk - Excluding Butter],Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables,Vegetal Products,[Vegetables] + [Vegetal Products],Animal fats,Animal Products,Meat,[Animal fats] + [Animal Products] + [Meat],Oilcrops,Vegetable Oils,[Oilcrops] + [Vegetable Oils],Sugar & Sweeteners,Sugar Crops,[Sugar & Sweeteners] + [Sugar Crops],Obesity,Undernourished,*Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population,Unit (all except Population)
Ethiopia,0,0.0651,0.0217,0.0868,31.5321,0.0434,1.1068,1.1502,0.2821,4.4705,6.1198,0.0868,0.2821,47.9601,48.2422,0.1519,2.0182,0.651,2.8211,0.4123,1.8012,2.2135,1.8663,0,1.8663,3.6,20.6,20.6,"364,960","6,451",0.003,0,114916000,%
Fiji,0,0.1192,1.1238,1.243,18.1338,0.2724,1.1749,1.4473,0.63,1.8219,4.3419,0.0511,0.8343,41.512,42.3463,2.2476,8.4795,3.5587,14.2858,3.5076,5.1081,8.6157,5.9254,0,5.9254,30,3.7,3.7,"52,141",674,0.058,0.001,896000,%
Finland,0,0.1199,0.944,1.0639,14.504,0.5094,7.267,7.7764,1.6032,0.1648,1.6931,0.2397,0.884,30.7761,31.6601,2.4273,19.2239,7.9562,29.6074,0.2997,3.2814,3.5811,4.525,0,4.525,24.9,<2.5,2,"157,531","1,158",0.028,0,5529000,%
France,0,0.2389,0.8994,1.1383,13.8983,0.6183,5.3963,6.0146,1.6582,0.2389,1.321,0.4216,0.9837,33.0101,33.9938,3.6818,16.9899,6.1551,26.8268,0.3513,6.0568,6.4081,5.5509,0,5.5509,23.2,<2.5,2,"7,262,178","118,612",0.112,0.002,64940000,%
French Polynesia,0,0.2223,1.6419,1.8642,15.8885,0.496,2.7364,3.2324,1.0433,0.325,1.9155,0.1539,0.8551,34.941,35.7961,1.8129,15.0676,8.1409,25.0214,2.4457,5.3019,7.7476,3.5574,0.1368,3.6942,NA,4.2,4.2,,,0,0,280000,%
Gabon,0,0.4539,1.0781,1.532,18.0064,0.0567,0.9835,1.0402,5.2771,0.0378,8.398,0.0189,0.5485,42.8031,43.3516,0.1513,7.1874,4.4638,11.8025,2.3454,2.8939,5.2393,2.7237,0.0189,2.7426,13.4,10.5,10.5,"35,525",239,0.016,0,2231000,%
Gambia,0,0.0394,1.1021,1.1415,26.8845,0.0984,1.791,1.8894,0.1771,0.1574,0.3543,0.0787,0.2952,46.2704,46.5656,0.0787,3.7394,0.6298,4.4479,4.8219,7.282,12.1039,5.5895,0,5.5895,8.7,10.2,10.2,"9,965",340,0.004,0,2417000,%
Georgia,0,0.0871,0.2613,0.3484,25.6053,0.4006,4.0759,4.4765,0.8361,0,1.4806,0.2961,0.5748,41.1949,41.7697,1.6025,8.8138,2.3689,12.7852,0.1916,3.205,3.3966,6.6539,0,6.6539,23.3,7.9,7.9,"715,865","10,003",0.193,0.003,3715000,%
Germany,0,0.0703,0.5343,0.6046,12.4016,0.6187,4.9072,5.5259,1.5607,0.0984,1.7717,0.7593,1.0827,34.6316,35.7143,4.162,15.3684,5.0759,24.6063,0.4781,6.1867,6.6648,6.482,0,6.482,25.7,<2.5,2,"4,608,512","95,734",0.055,0.001,83300000,%
Ghana,0,0.0824,0.923,1.0054,13.8784,0.0659,0.2308,0.2967,5.6865,1.0219,19.6143,0.0989,0.4121,47.8655,48.2776,0.0989,2.1263,0.7417,2.9669,1.6812,2.4065,4.0877,1.9779,0.0659,2.0438,9.7,5.5,5.5,"130,077","1,175",0.004,0,31073000,%
Greece,0,0.1938,0.5068,0.7006,14.4731,0.4919,5.4255,5.9174,2.2954,0.6707,1.5203,1.0434,1.4607,38.5303,39.991,0.7006,11.4771,4.1586,16.3363,0.8794,10.1654,11.0448,4.2629,0,4.2629,27.4,<2.5,2,"739,448","15,894",0.069,0.001,10700000,%
Grenada,0,0.0832,1.1446,1.2278,13.7565,0.7284,3.8085,4.5369,3.5588,1.3111,1.1446,0.0416,0.6035,37.7523,38.3558,0.7284,12.2581,5.7648,18.7513,1.1863,4.9116,6.0979,7.9084,0,7.9084,20.2,NA,NA,"5,840",198,0.052,0.002,113000,%
Guatemala,0,0.0785,0.0981,0.1766,23.8619,0.9419,1.4914,2.4333,1.3736,2.7473,0.3532,0.2159,0.7653,44.4662,45.2315,0.3925,5.5534,2.551,8.4969,1.0793,3.748,4.8273,9.3995,0,9.3995,18.8,15.2,15.2,"601,402","15,050",0.033,0.001,18066000,%
Guinea,0,0.1073,0.3399,0.4472,24.8479,0.1073,0.6619,0.7692,2.5939,0.7335,6.7979,0,1.61,47.585,49.195,0.161,2.415,1.0376,3.6136,1.8784,6.6547,8.5331,2.2182,0,2.2182,6.6,16.5,16.5,"30,653",385,0.002,0,12560000,%
Guinea-Bissau,0,0.111,0.0444,0.1554,28.6127,0.0666,0.8657,0.9323,1.9534,0.3996,4.1065,1.1543,0.2664,46.1487,46.4151,0.1554,3.8624,2.5971,6.6149,0.5771,7.5028,8.0799,0.6881,0,0.6881,8.2,28,28,"6,133",141,0.003,0,1927000,%
Guyana,0,0.0347,0.8666,0.9013,21.2998,0.1213,4.1075,4.2288,2.253,1.1612,1.3345,0.2253,3.1889,40.9879,44.1768,0.208,9.0121,3.6915,12.9116,2.5303,1.8371,4.3674,5.5459,0,5.5459,19.2,8.1,8.1,"35,548",913,0.045,0.001,787000,%
Haiti,0,0.0924,0.2079,0.3003,21.5754,0.0462,1.0626,1.1088,2.9568,3.8346,5.7057,0,0.3696,46.2,46.5696,0.3234,3.7884,2.079,6.1908,0.8085,4.5507,5.3592,4.0425,0,4.0425,20.5,49.3,49.3,"23,960",671,0.002,0,11403000,%
Honduras,0,0.0784,0.0979,0.1763,23.3301,0.2938,2.7032,2.997,1.5475,2.3898,0.2938,0.0392,0.3722,43.2517,43.6239,0.6464,6.7385,2.8991,10.284,0.1763,5.4848,5.6611,8.5406,0,8.5406,19.4,12.9,12.9,"375,381","10,239",0.038,0.001,9864000,%
Hungary,0,0,0.1978,0.1978,13.4206,0.8065,3.8649,4.6714,1.0347,0.4108,1.339,0.0304,1.0499,33.9318,34.9817,5.28,16.0682,5.9038,27.252,0.1978,7.4863,7.6841,5.3408,0,5.3408,28.6,<2.5,2,"863,419","30,729",0.088,0.003,9767000,%
Iceland,0,0.2619,2.2746,2.5365,10.7803,0.5928,8.5746,9.1674,2.2195,0.0965,1.0753,0.2481,0.8547,27.7089,28.5636,2.9915,22.2911,7.5958,32.8784,0.4825,3.019,3.5015,5.3212,0,5.3212,23.1,<2.5,2,"13,492",33,0.037,0,368000,%
India,0,0.0199,0.2582,0.2781,27.652,0.2384,3.2578,3.4962,1.4303,3.1387,1.1124,0.1986,1.1323,44.4378,45.5701,1.4899,5.5622,0.298,7.3501,0.9734,4.3504,5.3238,3.5757,0,3.5757,3.8,14.5,14.5,"34,273,300","458,186",0.024,0,1400100000,%
Indonesia,0,0.1038,1.4698,1.5736,31.9557,0.3977,0.3631,0.7608,1.4179,0.1729,2.4728,0.0865,0.709,46.6367,47.3457,0.121,3.372,0.9165,4.4095,1.833,4.0809,5.9139,3.4584,0,3.4584,6.9,8.3,8.3,"4,243,835","143,388",0.016,0.001,271739000,%
Iran (Islamic Republic of),0,0.0962,0.3686,0.4648,26.2179,0.4647,1.2179,1.6826,2.8526,1.0897,1.6346,1.2821,1.7788,44.1506,45.9294,1.3782,5.8494,2.3077,9.5353,0.1122,4.4712,4.5834,4.5513,0,4.5513,25.5,4.9,4.9,"5,916,211","126,126",0.07,0.001,84150000,%
Iraq,0,0.0199,0.1196,0.1395,29.7308,0.7378,0.8774,1.6152,1.5753,0.6979,0.339,0.1994,0.5583,45.8225,46.3808,0.9372,4.1476,1.4756,6.5604,0.2991,7.2383,7.5374,4.7059,0,4.7059,27.4,29,29,"2,054,202","23,138",0.052,0.001,39725000,%
Ireland,0,0.1211,0.7398,0.8609,14.4471,0.4977,4.5601,5.0578,1.8832,0.3228,1.7487,0.3497,1.2376,35.9833,37.2209,2.9997,14.0167,5.0982,22.1146,0.3901,5.4479,5.838,6.0533,0,6.0533,26.9,<2.5,2,"443,631","5,436",0.089,0.001,5003000,%
Israel,0,0.1424,0.6409,0.7833,15.297,0.5555,4.0023,4.5578,2.6919,0.8688,1.0255,0.6552,1.524,38.4133,39.9373,0.5127,11.5653,5.7257,17.8037,1.581,9.8846,11.4656,3.6177,0,3.6177,26.7,<2.5,2,"1,327,126","8,085",0.144,0.001,9216000,%
