Country,"Aquatic Products, Other + Offals + Fish, Seafood",Cereals - Excluding Beer,Eggs + Milk - Excluding Butter,Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables + Vegetal Products,Animal fats + Animal Products + Meat,Oilcrops + Vegetable Oils,Sugar & Sweeteners + Sugar Crops,Obesity,Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population
Senegal,0.6891,30.5896,0.5935,0.4594,0.7466,1.1485,0.1149,48.392,4.2113,9.5137,3.2351,7.4,11.3,73917,1878,0.004,0,16744000
Serbia,0.4458,20.0428,5.296,2.1041,0.4458,1.2482,0.2853,38.0707,20.5421,3.0671,5.2247,23.5,5.7,1137820,9890,0.164,0.001,6957000
Sierra Leone,0.9389,27.5362,0.9798,0.8573,1.7759,7.0831,0.2041,48.071,3.3272,7.8588,1.0206,7.5,25.6,6397,121,0.001,0,7977000
Slovakia,0.5056,10.6717,3.8643,1.2459,0.2347,1.6974,0.2709,34.3084,28.7108,10.7259,4.1712,22.4,3.4,479737,13018,0.088,0.002,5462000
Slovenia,0.5006,18.0069,4.9593,2.6596,0.2972,1.5019,0.6414,37.5,21.746,5.0063,3.4731,22.5,2,334188,4739,0.159,0.002,2103000
South Africa,0.4676,25.9977,1.8033,0.5176,0.2672,1.0519,0.0334,42.9788,12.9739,5.7271,5.6938,27,6.2,2921886,89163,0.049,0.001,59628000
Spain,1.4375,11.9896,4.7561,1.8351,0.7035,1.5905,0.7035,38.3086,20.1559,10.9192,4.8173,27.1,2,5011148,87368,0.105,0.002,47635000
Sri Lanka,1.2438,26.9805,1.8561,1.5499,1.7604,1.3203,0.1722,47.2063,4.4393,6.9078,5.377,5.4,9,539981,13725,0.025,0.001,21937000
Sudan,0.2261,22.8319,4.8295,2.3839,2.0756,0.8837,0,43.3415,10.8919,5.9186,6.4529,7.4,20.1,40433,3099,0.001,0,43849000
Suriname,0.6311,20.8094,1.5222,2.5617,0.3527,1.188,0.0557,44.9044,10.2469,7.8708,7.6481,26.5,8.5,48964,1090,0.081,0.002,605000
Sweden,0.9316,13.7733,6.5839,1.5839,0.2484,1.5373,0.4503,34.5652,25.4813,6.6459,5.264,22.1,2,1171512,15025,0.113,0.001,10377000
Switzerland,0.5567,11.7492,6.3727,1.9338,0.249,1.0841,0.9522,35.4673,24.1429,6.9733,7.8963,21.2,2,872558,11233,0.101,0.001,8634000
Thailand,1.2203,23.1871,1.751,1.8394,0.4245,1.0612,0.1061,44.1812,9.816,5.3944,7.729,10.8,7.8,1903165,19158,0.029,0,66534000
Timor-Leste,0.4441,32.7256,0.187,0.6078,1.5428,2.4778,0,45.4184,9.4437,3.9505,2.5245,2.9,24.9,19789,122,0.015,0,1318000
Togo,0.4323,23.2812,0.3706,0.2058,3.0259,10.5599,0,48.3532,3.2524,7.0811,2.8201,7.1,16.1,26068,242,0.003,0,8279000
Trinidad and Tobago,0.8053,18.4224,3.1717,1.249,1.4297,1.1997,0.1972,40.6902,16.023,5.834,9.1537,19.7,5.5,57121,1682,0.042,0.001,1369000
Tunisia,0.4183,23.9579,3.0001,1.9472,1.0097,0.8654,0.7356,46.5888,8.1639,7.5869,5.0483,27.3,4.3,712318,25231,0.06,0.002,11896000
Turkey,0.1977,19.2938,4.3503,2.2881,1.7232,1.2853,1.0734,44.5762,10.6639,9.4492,4.3644,32.2,2,8009010,70410,0.096,0.001,83737000
Uganda,0.5827,13.8462,1.5851,6.6667,5.5711,8.7413,0,46.6433,5.5245,6.317,2.6573,4.1,41,126075,3215,0.003,0,45741000
Ukraine,0.4612,20.0791,4.7438,1.153,0.2965,3.9697,0.2141,41.9206,14.5446,4.085,6.7699,26.1,3.5,3039616,71710,0.073,0.002,41778000
United Arab Emirates,0.7277,20.9268,3.5051,2.614,3.7576,0.3862,1.1585,42.5517,13.4858,4.4556,5.4953,29.9,2.6,739824,2136,0.076,0,9778000
United Kingdom,0.6272,13.4189,5.4697,1.9837,0.5105,2.5817,0.3209,36.7853,22.3454,7.22,5.3092,29.5,2,9062710,140981,0.135,0.002,67160000
United Republic of Tanzania,0.2922,20.409,1.2104,2.5042,4.8831,7.5751,0.0835,47.9132,3.9649,7.596,2.4207,7.1,30.7,26154,725,0,0,59734000
United States of America,0.4912,10.7792,5.7082,1.7788,0.4646,1.2478,0.4779,37.3025,21.0275,10.1819,8.0048,37.3,2,45953186,745668,0.139,0.002,329878000
Uruguay,0.3807,17.732,5.5035,1.3957,0.4282,1.586,0.0476,38.6678,18.4774,6.4076,7.3751,28.9,2,393718,6077,0.112,0.002,3531000
Uzbekistan,0.2317,24.8221,6.4207,2.2174,0,1.6217,0.2151,42.4458,14.9263,4.6004,1.7045,15.3,6.3,185647,1321,0.005,0,34174000
Venezuela (Bolivarian Republic of),0.5784,21.3126,2.9366,2.3804,0.7341,1.3571,0,43.426,10.9678,7.5862,7.7864,25.2,21.2,406239,4884,0.014,0,28645000
Vietnam,1.3449,26.9833,0.8512,1.8046,0.4597,0.715,0.3575,40.9942,19.748,3.2176,2.2472,2.1,9.3,915603,22030,0.01,0,96209000
Yemen,0.2909,32.0727,0.8,1.1879,1.2121,0.3152,0.0242,46.9091,5.8182,4.1212,7.0303,14.1,38.9,9779,1880,0,0,29826000
Zambia,0.7205,31.5528,0.7205,0.2236,0.2981,4.0994,0,47.1553,5.1428,6.1863,2.559,6.5,46.7,209722,3661,0.011,0,18384000
Zimbabwe,0.2532,29.8044,1.2198,0.4373,0.6214,1.2888,0.1151,46.3291,6.3751,6.9505,5.0403,12.3,51.3,132926,4675,0.009,0,14863000
